region_key,row_pixel,column_pixel
0,20,20
0,20,21
0,20,22
0,21,18
0,21,19
0,21,20
0,21,21
0,21,22
0,22,16
0,22,17
0,22,18
0,22,19
0,22,20
0,22,21
0,22,22
0,22,23
0,22,24
0,23,13
0,23,14
0,23,15
0,23,16
0,23,17
0,23,18
0,23,19
0,23,20
0,23,21
0,23,22
0,23,23
0,23,24
0,23,25
0,23,26
0,23,27
0,23,28
0,23,29
0,23,30
0,23,31
0,23,32
0,23,33
0,23,34
0,24,10
0,24,11
0,24,12
0,24,13
0,24,14
0,24,15
0,24,16
0,24,17
0,24,18
0,24,19
0,24,20
0,24,21
0,24,22
0,24,23
0,24,24
0,24,25
0,24,26
0,24,27
0,24,28
0,24,29
0,24,30
0,24,31
0,24,32
0,24,33
0,24,34
0,25,10
0,25,11
0,25,12
0,25,13
0,25,14
0,25,15
0,25,16
0,25,17
0,25,18
0,25,19
0,25,20
0,25,21
0,25,22
0,25,23
0,25,24
0,25,25
0,25,26
0,25,27
0,25,28
0,25,29
0,25,30
0,25,31
0,25,32
0,25,33
0,25,34
0,26,10
0,26,11
0,26,12
0,26,13
0,26,14
0,26,15
0,26,16
0,26,17
0,26,18
0,26,19
0,26,20
0,26,21
0,26,22
0,26,23
0,26,24
0,26,25
0,26,26
0,26,27
0,26,28
0,26,29
0,26,30
0,26,31
0,26,32
0,26,33
0,27,10
0,27,11
0,27,12
0,27,13
0,27,14
0,27,15
0,27,16
0,27,17
0,27,18
0,27,19
0,27,20
0,27,21
0,27,22
0,27,23
0,27,24
0,27,25
0,27,26
0,27,27
0,27,28
0,27,29
0,27,30
0,27,31
0,27,32
0,27,33
0,28,9
0,28,10
0,28,11
0,28,12
0,28,13
0,28,14
0,28,15
0,28,16
0,28,17
0,28,18
0,28,19
0,28,20
0,28,21
0,28,22
0,28,23
0,28,24
0,28,25
0,28,26
0,28,27
0,28,28
0,28,29
0,28,30
0,28,31
0,28,32
0,29,9
0,29,10
0,29,11
0,29,12
0,29,13
0,29,14
0,29,15
0,29,16
0,29,17
0,29,18
0,29,19
0,29,20
0,29,21
0,29,22
0,29,23
0,29,24
0,29,25
0,29,26
0,29,27
0,29,28
0,29,29
0,29,30
0,29,31
0,29,32
0,30,8
0,30,9
0,30,10
0,30,11
0,30,12
0,30,13
0,30,14
0,30,15
0,30,16
0,30,17
0,30,18
0,30,19
0,30,20
0,30,21
0,30,22
0,30,23
0,30,24
0,30,25
0,30,26
0,30,27
0,30,28
0,30,29
0,30,30
0,30,31
0,30,32
0,30,44
0,30,45
0,30,46
0,30,47
0,30,48
0,31,7
0,31,8
0,31,9
0,31,10
0,31,11
0,31,12
0,31,13
0,31,14
0,31,15
0,31,16
0,31,17
0,31,18
0,31,19
0,31,20
0,31,21
0,31,22
0,31,23
0,31,24
0,31,25
0,31,26
0,31,27
0,31,28
0,31,29
0,31,30
0,31,31
0,31,32
0,31,44
0,31,45
0,31,46
0,31,47
0,31,48
0,31,49
0,31,50
0,32,7
0,32,8
0,32,9
0,32,10
0,32,11
0,32,12
0,32,13
0,32,14
0,32,15
0,32,16
0,32,17
0,32,18
0,32,19
0,32,20
0,32,21
0,32,22
0,32,23
0,32,24
0,32,25
0,32,26
0,32,27
0,32,28
0,32,29
0,32,30
