region_key,row_pixel,column_pixel
0,22,33
0,22,34
0,22,35
0,23,28
0,23,29
0,23,30
0,23,31
0,23,32
0,23,33
0,23,34
0,23,35
0,23,36
0,23,37
0,24,25
0,24,26
0,24,27
0,24,28
0,24,29
0,24,30
0,24,31
0,24,32
0,24,33
0,24,34
0,24,35
0,24,36
0,24,37
0,24,38
0,24,39
0,24,40
0,25,24
0,25,25
0,25,26
0,25,27
0,25,28
0,25,29
0,25,30
0,25,31
0,25,32
0,25,33
0,25,34
0,25,35
0,25,36
0,25,37
0,25,38
0,25,39
0,25,40
0,26,24
0,26,25
0,26,26
0,26,27
0,26,28
0,26,29
0,26,30
0,26,31
0,26,32
0,26,33
0,26,34
0,26,35
0,26,36
0,26,37
0,26,38
0,26,39
0,26,40
0,26,41
0,27,23
0,27,24
0,27,25
0,27,26
0,27,27
0,27,28
0,27,29
0,27,30
0,27,31
0,27,32
0,27,33
0,27,34
0,27,35
0,27,36
0,27,37
0,27,38
0,27,39
0,27,40
0,27,41
0,27,42
0,27,43
0,28,23
0,28,24
0,28,25
0,28,26
0,28,27
0,28,28
0,28,29
0,28,30
0,28,31
0,28,32
0,28,33
0,28,34
0,28,35
0,28,36
0,28,37
0,28,38
0,28,39
0,28,40
0,28,41
0,28,42
0,28,43
0,28,44
0,28,45
0,28,46
0,28,47
0,29,23
0,29,24
0,29,25
0,29,26
0,29,27
0,29,28
0,29,29
0,29,30
0,29,31
0,29,32
0,29,33
0,29,34
0,29,35
0,29,36
0,29,37
0,29,38
0,29,39
0,29,40
0,29,41
0,29,42
0,29,43
0,29,44
0,29,45
0,29,46
0,29,47
0,29,48
0,30,23
0,30,24
0,30,25
0,30,26
0,30,27
0,30,28
0,30,29
0,30,30
0,30,31
0,30,32
0,30,33
0,30,34
0,30,35
0,30,36
0,30,37
0,30,38
0,30,39
0,30,40
0,30,41
0,30,42
0,30,43
0,30,44
0,30,45
0,30,46
0,30,47
0,30,48
0,30,49
0,30,50
0,31,23
0,31,24
0,31,25
0,31,26
0,31,27
0,31,28
0,31,29
0,31,30
0,31,31
0,31,32
0,31,33
0,31,34
0,31,35
0,31,36
0,31,37
0,31,38
0,31,39
0,31,40
0,31,41
0,31,42
0,31,43
0,31,44
0,31,45
0,31,46
0,31,47
0,31,48
0,31,49
0,31,50
0,31,51
0,31,52
0,32,25
0,32,26
0,32,27
0,32,28
0,32,29
0,32,30
0,32,31
0,32,32
0,32,33
0,32,34
0,32,35
0,32,36
0,32,37
0,32,38
0,32,39
0,32,40
0,32,41
0,32,42
0,32,43
0,32,44
0,32,45
0,32,46
0,32,47
0,32,48
0,32,49
0,32,50
0,32,51
0,32,52
0,33,27
0,33,28
0,33,29
0,33,30
0,33,31
0,33,32
0,33,33
0,33,34
0,33,35
0,33,36
0,33,37
0,33,38
0,33,39
0,33,40
0,33,41
0,33,42
0,33,43
0,33,44
0,33,45
0,33,46
0,33,47
0,33,48
0,33,49
0,33,50
0,33,51
0,33,52
0,33,53
0,34,27
0,34,28
0,34,29
0,34,30
0,34,31
0,34,32
0,34,33
0,34,34
0,34,35
0,34,36
0,34,37
0,34,38
0,34,39
0,34,40
0,34,41
0,34,42
0,34,43
0,34,44
0,34,45
0,34,46
0,34,47
0,34,48
0,34,49
0,34,50
0,34,51
0,34,52
0,34,53
0,34,54
0,35,28
0,35,29
0,35,30
0,35,31
0,35,32
0,35,33
0,35,34
0,35,35
0,35,36
0,35,37
0,35,38
0,35,39
0,35,40
0,35,41
0,35,42
0,35,43
0,35,44
0,35,45
0,35,46
0,35,47
0,35,48
0,35,49
0,35,50
0,35,51
0,35,52
0,35,53
0,35,54
0,36,29
0,36,30
0,36,31
0,36,32
0,36,33
0,36,34
0,36,35
0,36,36
0,36,37
0,36,38
0,36,39
0,36,40
0,36,41
0,36,42
0,36,43
0,36,44
0,36,45
0,36,46
0,36,47
0,36,48
0,36,49
0,36,50
0,36,51
0,36,52
0,36,53
0,36,54
0,36,55
0,36,56
0,36,57
0,36,58
0,36,59
0,36,60
0,36,61
0,37,30
0,37,31
0,37,32
0,37,33
0,37,34
0,37,35
0,37,36
0,37,37
0,37,38
0,37,39
0,37,40
0,37,41
0,37,42
0,37,43
0,37,44
0,37,45
0,37,46
0,37,47
0,37,48
0,37,49
0,37,50
0,37,51
0,37,52
0,37,53
0,37,54
0,37,55
0,37,56
0,37,57
0,37,58
0,37,59
0,37,60
0,37,61
0,37,62
0,38,30
0,38,31
0,38,32
0,38,33
0,38,34
0,38,35
0,38,36
0,38,37
0,38,38
0,38,39
0,38,40
0,38,41
0,38,42
0,38,43
0,38,44
0,38,45
0,38,46
0,38,47
0,38,48
0,38,49
0,38,50
0,38,51
0,38,52
0,38,53
0,38,54
0,38,55
0,38,56
0,38,57
0,38,58
0,38,59
0,38,60
0,38,61
0,38,62
0,39,37
0,39,38
0,39,39
0,39,40
0,39,41
0,39,42
0,39,43
0,39,44
0,39,45
0,39,46
0,39,47
0,39,48
0,39,49
0,39,50
0,39,51
0,39,52
0,39,53
0,39,54
0,39,55
0,39,56
0,39,57
0,39,58
0,39,59
0,39,60
0,39,61
0,39,62
0,39,63
0,40,39
0,40,40
0,40,41
0,40,42
0,40,43
0,40,44
0,40,45
0,40,46
0,40,47
0,40,48
0,40,49
0,40,50
0,40,54
0,40,55
0,40,56
0,40,57
0,40,58
0,40,59
0,40,60
0,40,61
0,40,62
0,40,63
0,40,64
0,41,41
0,41,42
0,41,43
0,41,44
0,41,45
0,41,46
0,41,47
0,41,48
0,41,56
0,41,57
0,41,58
0,41,59
0,41,60
0,41,61
0,41,62
0,41,63
0,41,64
0,42,43
0,42,44
0,42,45
0,42,46
0,42,47
0,42,60
0,42,61
0,42,62
